Project short code,Port name,Lat,Long,Port group,California Region,Port code
Statwide_SocEco,PETALUMA,38.232417,-122.6366524,SAN FRANCISCO AREA PORTS,North Central Coast,459
Statwide_SocEco,DANVILLE,37.821667,-122,SAN FRANCISCO AREA PORTS,North Central Coast,304
Statwide_SocEco,YOUNTVILLE,38.403056,-122.362222,SAN FRANCISCO AREA PORTS,North Central Coast,416
Statwide_SocEco,EL SOBRANTE,37.977222,-122.295278,SAN FRANCISCO AREA PORTS,North Central Coast,422
Statwide_SocEco,TIBURON,37.873611,-122.456667,SAN FRANCISCO AREA PORTS,North Central Coast,496
Statwide_SocEco,SANTA BARBARA HARBOR,34.4072194,-119.6887448,SANTA BARBARA COUNTY PORTS,South Coast,611
Statwide_SocEco,GOLETA BEACH,34.4358295,-119.8276389,SANTA BARBARA COUNTY PORTS,South Coast,614
Statwide_SocEco,GAVIOTA BEACH,34.4708223,-120.2245942,SANTA BARBARA COUNTY PORTS,South Coast,604
Statwide_SocEco,SURF BEACH,34.6844268,-120.6035029,SANTA BARBARA COUNTY PORTS,South Coast,621
Statwide_SocEco,GUADALUPE BEACH,34.971644,-120.5718363,SANTA BARBARA COUNTY PORTS,South Coast,618
Statwide_SocEco,SANTA CRUZ,36.9741171,-122.0307963,SANTA CRUZ,SCentral Coast,593
Statwide_SocEco,SHELTER COVE,40.0304212,-124.0730866,SHELTER COVE,North Coast,215
Statwide_SocEco,TRINIDAD,41.059291,-124.1431246,TRINIDAD,North Coast,231
Statwide_SocEco,VENTURA,34.2783352,-119.2931676,VENTURA,South Coast,613
